ID,Bug Line,Explanation
16,1,"The code uses TA::VECD mode for editing vectors. However, when rdi.smartVec().label().copyLabel() is used to define the label, only TA::VTT mode should be used. The code should use TA::VTT instead of TA::VECD."
32,4,"The method chain `.digCap().pin(""dig1"").samples(8).execute()` implies a digital capture operation followed by execution. However, the documentation for `rdi.port(TA::MULTI_PORT).func()` and the hint state that multi-port configurations should be used for creating bursts in dynamic mode using the `burst()` command, not `execute()`. The correct operation is to burst using `burst()`, but here it is trying to call `.execute()` on a multi port, which results in a config mismatch."
25,5,RDI_END() should be called after RDI_BEGIN() and after the rdi.protocol().write() call to correctly terminate the RDI session. Calling RDI_END() before RDI_BEGIN() is incorrect and violates the expected lifecycle order.
10,4,"The correct syntax for getting the result from the RDI call is accessing the member variable. In line 4, the getHumanSeniority is designed for the method readHumanSeniority .execute(), not used with rdi.id()."
26,8,"The iMeas() call on line 8 is placed in the wrong order. It is called after the first waveform group (wav1.repeat(2)), but before the addWaveform(wav2, 3). This means the measurement binding will happen only to waveform 1 and it will be measured before the addition of the next waveform. It's critical to bind iMeas() after adding all waveforms to ensure the measurement encompasses the entire defined waveform sequence before the read() operation."
23,25,"The burstUpload API is used incorrectly. The correct order is `rdi.smartVec(""id"").burstUpload().begin()` which initiates burst upload for a smart vector. Then, inside the RDI block, read operations are performed. Finally, `rdi.smartVec(""id"").burstUpload().end()` must match the smartVec name which initiates burstUpload."
4,4,"The iClamp values for pin sP_LIN are reversed. The first argument should be the high clamp, and the second should be the low clamp, but the code has iClamp(-5 uA, 5 uA), which is swapped. It should be iClamp(5 uA, -5 uA)"
31,2,"The 'burst' method is not a valid method for a vector of strings. The SmartRDI API, or standard C++, does not provide such method for std::vector. This line is semantically incorrect and would cause a compilation error."
17,8,"The correct function to get the first fail vector is 'getFFV()', not 'getFFC()'."
27,5,"The line `rdi.dc(""im1"").pin(""DPS_0,DPS_1"").imeas().write();` contains multiple SmartRDI API errors. First, the pin list changes to 'DPS_0,DPS_1', which is a mismatch with the pins 'DPS_1,DPS_2' configured at the beginning (line 2). Second, the method name 'imeas()' is not standard, is should be Imeas(). Finally, the operation changes to `.write()`, where it should be `.execute()`. This line attempts to perform an immediate current measurement on a different set of pins using the API call `write()` instead of performing the chain of DC measure commands with the `execute()` method."
24,3,"The digital capture is initialized with pin ""D0"" (digit zero), while the subsequent retrieval uses ""DO"" (letter O). This mismatch will result in an attempt to read from non-initialized data, meaning the tool capturing the data is not properly configured."
14,7,"The SmartRDI API's `getAlarmValue()` function requires the pin name as a parameter, but the code is calling it without any parameters. This will cause a compilation error or runtime exception."
9,3,The `end()` function should only be called once to properly terminate the cogo node. Calling it twice in a row is likely a bug and may lead to unexpected behavior or errors due to unreleased system resources.
13,3,The method name 'getVesjkctor' is not a valid SmartRDI API call. It is likely a typo/random string which represents intended functionality like 'getValue' or 'getVector'.
22,3,"The SmartRDI API function `readTempThresh` is being called with an integer argument (70), but based on the (lack of) documentation, the `readTempThresh` method does not accept any parameters. This is a misuse of the SmartRDI API. `readTempThresh` should be called without any arguments."
29,4,"The code retrieves the status of the PMUX pin ""P0x01F1"" immediately after setting pin ""P0x07F1"" high, without waiting for the set operation initiated by previous `execute()` to complete. This can lead to reading a stale or inconsistent pin status, especially in a multithreaded environment or when dealing with hardware latencies. Proper synchronization mechanisms should be in place between the `execute()` calls and the `retrievePmuxPinStatus()` call. The lines 5 and 6 have the same issue as well."
2,3,"The line attempts to set 'vForceRange' to 35V for the VS pin. This is likely an invalid setting for the AVI64, as implicitly suggested by the documentation mentioning that 35V is out of the allowed range. This incorrect 'vForceRange' value can lead to unexpected or incorrect behavior of the device or test system."
20,5,The number of samples (9216) exceeds the maximum allowed sample number of 8192 when burst site upload is enabled. This is caused by digCapBurstSiteUpload(false) on line 1. It needs to be set to true and the samples number cannot exceed 8192.
11,3,"The argument unit is wrong. It should be 1 mA, not 1 uA. Furthermore, there needs to be an iRange() as well specifying the measurement range."
3,4,"The voltage force value of 31V exceeds the full scale voltage range setting of 30V for the AVI64. According to SmartRDI documentation, the programmed force or clamp value must always match the selected range. Violating this rule may lead to a range overflow warning."
